client_id;date;reference;valeur;nom;latitude;longitude;puissance moyenne demande;code activite economique
0;12006;61253003317131;;SARL IBRAHIM ET FILS;36.541743;4.618995;4500;96
0;22006;61253003317131;;SARL IBRAHIM ET FILS;36.541743;4.618995;4500;96
0;32006;61253003317131;;SARL IBRAHIM ET FILS;36.541743;4.618995;4500;96
0;42006;61253003317131;;SARL IBRAHIM ET FILS;36.541743;4.618995;4500;96
0;52006;61253003317131;;SARL IBRAHIM ET FILS;36.541743;4.618995;4500;96
0;62006;61253003317131;;SARL IBRAHIM ET FILS;36.541743;4.618995;4500;96
0;72006;61253003317131;;SARL IBRAHIM ET FILS;36.541743;4.618995;4500;96
0;82006;61253003317131;;SARL IBRAHIM ET FILS;36.541743;4.618995;4500;96
0;92006;61253003317131;;SARL IBRAHIM ET FILS;36.541743;4.618995;4500;96
0;102006;61253003317131;;SARL IBRAHIM ET FILS;36.541743;4.618995;4500;96
0;112006;61253003317131;;SARL IBRAHIM ET FILS;36.541743;4.618995;4500;96
0;122006;61253003317131;;SARL IBRAHIM ET FILS;36.541743;4.618995;4500;96
0;12007;61253003317131;;SARL IBRAHIM ET FILS;36.541743;4.618995;4500;96
0;22007;61253003317131;;SARL IBRAHIM ET FILS;36.541743;4.618995;4500;96
0;32007;61253003317131;;SARL IBRAHIM ET FILS;36.541743;4.618995;4500;96
0;42007;61253003317131;;SARL IBRAHIM ET FILS;36.541743;4.618995;4500;96
0;52007;61253003317131;;SARL IBRAHIM ET FILS;36.541743;4.618995;4500;96
0;62007;61253003317131;;SARL IBRAHIM ET FILS;36.541743;4.618995;4500;96
0;72007;61253003317131;;SARL IBRAHIM ET FILS;36.541743;4.618995;4500;96
0;82007;61253003317131;;SARL IBRAHIM ET FILS;36.541743;4.618995;4500;96
0;92007;61253003317131;;SARL IBRAHIM ET FILS;36.541743;4.618995;4500;96
0;102007;61253003317131;;SARL IBRAHIM ET FILS;36.541743;4.618995;4500;96
0;112007;61253003317131;;SARL IBRAHIM ET FILS;36.541743;4.618995;4500;96
0;122007;61253003317131;;SARL IBRAHIM ET FILS;36.541743;4.618995;4500;96
0;12008;61253003317131;;SARL IBRAHIM ET FILS;36.541743;4.618995;4500;96
0;22008;61253003317131;;SARL IBRAHIM ET FILS;36.541743;4.618995;4500;96
0;32008;61253003317131;;SARL IBRAHIM ET FILS;36.541743;4.618995;4500;96
0;42008;61253003317131;;SARL IBRAHIM ET FILS;36.541743;4.618995;4500;96
0;52008;61253003317131;;SARL IBRAHIM ET FILS;36.541743;4.618995;4500;96
0;62008;61253003317131;;SARL IBRAHIM ET FILS;36.541743;4.618995;4500;96
